method_name,subset_name,sleeve_count,sleeve_names,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,hit_rate,avg_weekly_turnover,annual_turnover,avg_max_weight,avg_effective_n,avg_hhi,weight_instability,allocation_instability,psr_zero,psr_selection,observations,avg_bil_weight,avg_spy_weight,avg_cash_weight,delta_ann_return_vs_baseline,delta_sharpe_vs_baseline,delta_max_drawdown_vs_baseline,delta_cvar_5_vs_baseline,delta_turnover_vs_baseline,delta_avg_bil_vs_baseline,delta_avg_cash_vs_baseline
hrp,baseline_current,6,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|composite_regime_conditioned|taa_10m_sma|composite_breadth_filtered,0.05057995604178389,0.06368868753896327,0.7941748840536279,-0.12220885373118984,0.4138812737172004,-0.0223336633997956,0.563963963963964,0.056377111459350676,2.931609795886235,0.491393947958945,4.064742200822975,0.3537796229407813,0.11265264253769351,0.046676573234592705,0.9998094113998796,0.9878591753870138,1110,0.44857863343629306,0.049354171185478905,0.34450869868933315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrp,drop_breadth,5,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|composite_regime_conditioned|taa_10m_sma,0.052691310334547214,0.0659318770005016,0.7991780718474972,-0.12112857986144931,0.4350031214335807,-0.02293100717320627,0.5486486486486486,0.054962239264475535,2.858036441752728,0.4768743051599511,4.261713326166316,0.337801891726358,0.10982544746721329,0.04603935232963199,0.9998198020046154,0.9912234178403716,1110,0.4366509209887154,0.05889667607850425,0.3451806078250042,0.0021113542927633233,0.005003187793869324,0.0010802738697405223,-0.000597343773410669,-0.0014148721948751414,-0.011927712447577676,0.000671909135671056
hrp,drop_regime,5,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|taa_10m_sma|composite_breadth_filtered,0.049991856223821074,0.06767165075011201,0.7387414917425865,-0.15966251949914534,0.31310952865233144,-0.02334633719478286,0.5522522522522523,0.05704469506360369,2.966324143307392,0.47205742046404064,4.327230999123107,0.33762824305639566,0.11398660689285856,0.04533117091324997,0.9995009181810175,0.9820672857717886,1110,0.42586423788954103,0.060669684871956696,0.3468688662670815,-0.0005880998179628172,-0.055433392311041385,-0.0374536657679555,-0.0010126737949872622,0.000667583604253015,-0.02271439554675203,0.0023601675777483733
hrp,replace_equal_with_selective,5,dual_momentum_topn|cta_trend_long_only|composite_selective_signals|composite_regime_conditioned|taa_10m_sma,0.05277401980703167,0.06429047397071515,0.8208684202743735,-0.12372752997040215,0.4265341740811941,-0.0223679786668721,0.5522522522522523,0.05006405309306628,2.6033307608394467,0.47682083313336576,4.292704188522402,0.33718763522758205,0.10003790068506398,0.046065972700634304,0.9998615881172899,0.9927268322112992,1110,0.4372667716243666,0.0565410649488551,0.3445410276915393,0.002194063765247778,0.02669353622074555,-0.0015186762392123132,-3.4315267076499845e-05,-0.006313058366284395,-0.011311861811926449,3.232900220617729e-05
hrp,add_selective_drop_breadth,6,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|composite_regime_conditioned|taa_10m_sma|composite_selective_signals,0.05235590571850679,0.06407507374552929,0.8171025432828287,-0.13553437946600755,0.38629243683251463,-0.02235166219073591,0.5612612612612613,0.05104435604271512,2.6543065142211866,0.47483209606250626,4.281118803379207,0.3356316937560191,0.10199674027274067,0.04663540026724685,0.9998499824023951,0.9896970586549797,1110,0.4333681016047542,0.05075235438038093,0.34458972567006935,0.0017759496767228988,0.022927659229200814,-0.013325525734817711,-1.7998790940311482e-05,-0.005332755416635554,-0.015210531831538865,8.102698073619852e-05
max_diversification,baseline_current,6,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|composite_regime_conditioned|taa_10m_sma|composite_breadth_filtered,0.05040517666090483,0.06376416068749609,0.7904938466599952,-0.127180423620318,0.3963281079435894,-0.022149025345679165,0.5585585585585585,0.05628529524617796,2.926835352801254,0.48417419197203776,4.227778710854727,0.34634516847515834,0.1124691755459664,0.04566077993553561,0.9997928123485773,0.9871466542670218,1110,0.44145834905973774,0.05358573102939026,0.3446490092452807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_diversification,drop_breadth,5,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|composite_regime_conditioned|taa_10m_sma,0.05307480080690463,0.06528058697549774,0.8130257901453245,-0.12500974323565384,0.42456531333605085,-0.022506006944229717,0.5558558558558558,0.05251272984192311,2.7306619517800015,0.4701105225858305,4.3698265600837765,0.33234827055959343,0.10493084215259951,0.044684741109158835,0.9998538202487589,0.992437738572303,1110,0.42950045644496326,0.05926194757318267,0.3455814400859942,0.002669624145999805,0.022531943485329275,0.00217068038466417,-0.00035698159855055214,-0.0037725654042548504,-0.011957892614774479,0.0009324308407134829
max_diversification,drop_regime,5,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|taa_10m_sma|composite_breadth_filtered,0.04928173426236282,0.0676304553276806,0.7286914456450836,-0.16592767355460591,0.2970073237731768,-0.02310362891976847,0.5531531531531532,0.05739022540068329,2.984291720835531,0.46951913739470164,4.385460091001272,0.33400062730250973,0.11467704498983382,0.04462978105593298,0.9994311361280869,0.9803701594113221,1110,0.42342898630287623,0.059319127929393596,0.34552214260946384,-0.0011234423985420072,-0.061802401014911634,-0.03874724993428791,-0.0009546035740893057,0.0011049301545053292,-0.01802936275686151,0.000873133364183154
max_diversification,replace_equal_with_selective,5,dual_momentum_topn|cta_trend_long_only|composite_selective_signals|composite_regime_conditioned|taa_10m_sma,0.05322528880570254,0.06460116095571254,0.8239060725579104,-0.1324635548927937,0.4018108139161688,-0.022273985334232138,0.5585585585585585,0.04922892044575569,2.559903863179296,0.4684574315641892,4.417105866415168,0.33050664158405496,0.09836914013395145,0.0449656277031761,0.9998639848931797,0.9928170315839473,1110,0.4278625468399227,0.055540944523351954,0.34455368001636055,0.002820112144797715,0.03341222589791515,-0.005283131272475705,-0.000124959988552973,-0.007056374800422267,-0.013595802219815045,-9.532922892013795e-05
max_diversification,add_selective_drop_breadth,6,dual_momentum_topn|cta_trend_long_only|composite_equal_weight|composite_regime_conditioned|taa_10m_sma|composite_selective_signals,0.05244893804031725,0.06484478344662697,0.8088382018190776,-0.1347498728325105,0.3892318184634541,-0.02226191606218391,0.5531531531531532,0.05031346186749832,2.6163000171099124,0.46483808812665184,4.4425321937284075,0.32734636571663767,0.10053626884874889,0.04562095375665649,0.999836508846253,0.9890698856694594,1110,0.4239799221692971,0.05248155765763623,0.34558036036454076,0.002043761379412423,0.018344355159082393,-0.007569449212192492,-0.00011289071650474533,-0.005971833378679639,-0.017478426890440657,0.000931351119260071
