Date,method_name,engine,method_category,active_sleeves,expected_return_key,covariance_method,predicted_ann_vol,target_vol_multiplier,regime_multiplier,gross_multiplier,cash_weight,view_count,view_confidence,view_spread,hierarchical_fallback,hierarchical_reason,hierarchical_valid_sleeves
2006-06-30,equal_weight,equal_weight,baseline,5,n/a,sample,0.07189875749267798,1.0,0.65,0.65,0.35,0,,,False,,5
2006-07-28,equal_weight,equal_weight,baseline,6,n/a,sample,0.07229096197008693,1.0,0.65,0.65,0.34999999999999987,0,,,False,,6
2006-08-25,equal_weight,equal_weight,baseline,6,n/a,sample,0.0709606060458625,1.0,0.65,0.65,0.3500000000000001,0,,,False,,6
2006-09-29,equal_weight,equal_weight,baseline,6,n/a,sample,0.06913292965464449,1.0,0.65,0.65,0.35,0,,,False,,6
2006-10-27,equal_weight,equal_weight,baseline,6,n/a,sample,0.06813607744726713,1.0,0.65,0.65,0.3500000000000001,0,,,False,,6
2006-11-24,equal_weight,equal_weight,baseline,6,n/a,sample,0.06913075412842677,1.0,1.0,1.0,0.0,0,,,False,,6
2006-12-29,equal_weight,equal_weight,baseline,6,n/a,sample,0.06960345400179274,1.0,1.0,1.0,0.0,0,,,False,,6
2007-01-26,equal_weight,equal_weight,baseline,6,n/a,sample,0.07039768736606807,1.0,1.0,1.0,1.1102230246251565e-16,0,,,False,,6
2007-02-23,equal_weight,equal_weight,baseline,6,n/a,sample,0.07493193182768072,1.0,1.0,1.0,0.0,0,,,False,,6
2007-03-30,equal_weight,equal_weight,baseline,6,n/a,sample,0.07601621860669179,1.0,0.65,0.65,0.35,0,,,False,,6
2007-04-27,equal_weight,equal_weight,baseline,6,n/a,sample,0.0750363766079028,1.0,0.65,0.65,0.34999999999999987,0,,,False,,6
2007-05-25,equal_weight,equal_weight,baseline,6,n/a,sample,0.07590310589240737,1.0,0.65,0.65,0.35,0,,,False,,6
2007-06-29,equal_weight,equal_weight,baseline,6,n/a,sample,0.07709875794786834,1.0,0.65,0.65,0.35,0,,,False,,6
2007-07-27,equal_weight,equal_weight,baseline,6,n/a,sample,0.08041910732029464,1.0,0.65,0.65,0.34999999999999987,0,,,False,,6
2007-08-31,equal_weight,equal_weight,baseline,6,n/a,sample,0.08131678064592329,1.0,0.3,0.3,0.7,0,,,False,,6
2007-09-28,equal_weight,equal_weight,baseline,6,n/a,sample,0.08223455150570955,1.0,0.65,0.65,0.35,0,,,False,,6
2007-10-26,equal_weight,equal_weight,baseline,6,n/a,sample,0.08216329950002067,1.0,0.3,0.3,0.7,0,,,False,,6
2007-11-30,equal_weight,equal_weight,baseline,6,n/a,sample,0.08170527117102931,1.0,0.3,0.3,0.7,0,,,False,,6
2007-12-28,equal_weight,equal_weight,baseline,6,n/a,sample,0.08235016326315159,1.0,0.65,0.65,0.35,0,,,False,,6
2008-01-25,equal_weight,equal_weight,baseline,6,n/a,sample,0.08328779621587401,1.0,0.3,0.3,0.7000000000000001,0,,,False,,6
2008-02-29,equal_weight,equal_weight,baseline,6,n/a,sample,0.0846157966060569,1.0,0.3,0.3,0.7,0,,,False,,6
2008-03-28,equal_weight,equal_weight,baseline,6,n/a,sample,0.08517562188340866,1.0,0.3,0.3,0.7000000000000001,0,,,False,,6
2008-04-25,equal_weight,equal_weight,baseline,6,n/a,sample,0.08572565431425887,1.0,0.3,0.3,0.7,0,,,False,,6
2008-05-30,equal_weight,equal_weight,baseline,6,n/a,sample,0.0863179267245508,1.0,0.6431744027719176,0.6431744027719176,0.3568255972280825,0,,,False,,6
2008-06-27,equal_weight,equal_weight,baseline,6,n/a,sample,0.08663187229690857,1.0,0.6280614488619342,0.6280614488619342,0.37193855113806584,0,,,False,,6
2008-07-25,equal_weight,equal_weight,baseline,6,n/a,sample,0.08741505358151244,1.0,0.65,0.65,0.35,0,,,False,,6
2008-08-29,equal_weight,equal_weight,baseline,6,n/a,sample,0.09053029272225652,1.0,0.65,0.65,0.3500000000000001,0,,,False,,6
2008-09-26,equal_weight,equal_weight,baseline,6,n/a,sample,0.0919853969460946,1.0,0.3,0.3,0.7,0,,,False,,6
2008-10-31,equal_weight,equal_weight,baseline,6,n/a,sample,0.09733010372426784,1.0,0.261578600510896,0.261578600510896,0.738421399489104,0,,,False,,6
2008-11-28,equal_weight,equal_weight,baseline,6,n/a,sample,0.09937493049411662,1.0,0.25,0.25,0.75,0,,,False,,6
2008-12-26,equal_weight,equal_weight,baseline,6,n/a,sample,0.10367683309284087,1.0,0.25,0.25,0.75,0,,,False,,6
2009-01-30,equal_weight,equal_weight,baseline,6,n/a,sample,0.1050851780201577,1.0,0.25,0.25,0.75,0,,,False,,6
2009-02-27,equal_weight,equal_weight,baseline,6,n/a,sample,0.10612552250873479,1.0,0.3,0.3,0.7,0,,,False,,6
2009-03-27,equal_weight,equal_weight,baseline,6,n/a,sample,0.10609516689550774,1.0,0.3,0.3,0.7000000000000001,0,,,False,,6
2009-04-24,equal_weight,equal_weight,baseline,6,n/a,sample,0.10471110519464316,1.0,0.3184387309843834,0.3184387309843834,0.6815612690156166,0,,,False,,6
2009-05-29,equal_weight,equal_weight,baseline,6,n/a,sample,0.10195897838591651,1.0,0.3502865216180452,0.3502865216180452,0.6497134783819549,0,,,False,,6
2009-06-26,equal_weight,equal_weight,baseline,6,n/a,sample,0.10047259905037531,1.0,0.5437483451086257,0.5437483451086257,0.4562516548913743,0,,,False,,6
