id,description,type,coverage,alphaCount
analyst_revision_rank_derivative,Daily-indicator variant of momentum capturing recent price moves and analyst estimate revisions,MATRIX,1.0,1489
cashflow_efficiency_rank_derivative,Ranks stocks by their ability to generate cash flows and operational profitability,MATRIX,1.0,770
composite_factor_score_derivative,Momentum score based on analyst revisions; intraday variant,MATRIX,1.0,910
earnings_certainty_rank_derivative,Measures the sustainability and certainty of earnings quality,MATRIX,1.0,1385
fscore_bfl_growth,"Growth composite estimating expected medium-term growth potential (e.g., revenues, earnings); higher is better (0–100)",MATRIX,0.3807,58
fscore_bfl_momentum,Composite momentum measure reflecting recent price dynamics and analyst estimate revisions to identify improving or deteriorating names,MATRIX,0.3774,74
fscore_bfl_profitability,Profitability composite ranking firms by ability to generate cash flows and operational efficiency; higher is better (0–100),MATRIX,0.3797,70
fscore_bfl_quality,"Composite measuring earnings quality, stability, and balance-sheet resilience",MATRIX,0.3828,152
fscore_bfl_surface,Static composite “style surface” score aggregating the five primary style scores; larger surface implies higher rank,MATRIX,0.374,46
fscore_bfl_surface_accel,Acceleration (derivative) of the pentagon surface score relative to the previous month,MATRIX,0.3726,98
fscore_bfl_total,Blended composite M-Score combining the static pentagon surface score and its acceleration into an overarching rating,MATRIX,0.3726,50
fscore_bfl_value,Valuation composite indicating how under- or overpriced a stock is versus common valuation measures; higher is better (cheaper) (0–100),MATRIX,0.3808,212
fscore_growth,Composite measuring the stock’s expected medium-term growth potential,MATRIX,0.2987,472
fscore_momentum,Composite momentum metric focused on recent analyst estimate revisions to identify stocks experiencing upward or downward revisions,MATRIX,0.2973,908
fscore_profitability,Composite ranking stocks by their ability to generate cash flows and operational profitability,MATRIX,0.2981,397
fscore_quality,Composite measuring the sustainability and certainty of earnings,MATRIX,0.2993,1675
fscore_surface,"Static overall “style surface” score combining Value, Growth, Profitability, Momentum, and Quality; larger surface implies higher rank",MATRIX,0.2957,563
fscore_surface_accel,"Acceleration (derivative) of the pentagon surface score, indicating whether the overall style surface is rising or falling versus the previous month",MATRIX,0.2946,262
fscore_total,Final blended score that combines the static pentagon surface score with its acceleration,MATRIX,0.2946,383
fscore_value,"Composite assessing whether the stock is under- or overpriced using standard valuation measures (e.g., multiples)",MATRIX,0.2981,889
growth_potential_rank_derivative,Composite growth score qualifying the stock’s expected medium‑term growth potential,MATRIX,1.0,472
multi_factor_acceleration_score_derivative,Change in the acceleration of multi-factor score compared to previous period.,MATRIX,1.0,456
multi_factor_static_score_derivative,Change in static multi-factor score compared to previous period.,MATRIX,1.0,338
relative_valuation_rank_derivative,Assesses whether the stock is under or overpriced based on standard valuation multiples indicator variant,MATRIX,1.0,393
